Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (13.3826, -14.8629)
2: (x,y) = (23.981, -31.8239)
3: (x,y) = (43.8714, -29.7333)
4: (x,y) = (24.1177, -32.862)
5: (x,y) = (6.62527, -23.1658)
6: (x,y) = (-12.9377, -27.324)
7: (x,y) = (-0.0819255, -12.0031)
8: (x,y) = (-13.4645, 2.85977)
9: (x,y) = (-20.6319, 21.5314)
10: (x,y) = (-3.85849, 32.4242)
11: (x,y) = (14.2677, 23.9718)
12: (x,y) = (-5.70492, 25.0185)
13: (x,y) = (-23.3639, 34.4079)
14: (x,y) = (-6.04336, 24.4079)
15: (x,y) = (-5.34537, 4.42012)
16: (x,y) = (11.6156, 15.0185)
17: (x,y) = (31.0215, 10.1801)
18: (x,y) = (47.9825, -0.418315)
19: (x,y) = (57.6787, -17.9107)
20: (x,y) = (44.8229, -33.2316)
21: (x,y) = (54.2123, -15.5726)
22: (x,y) = (64.5131, -32.716)
23: (x,y) = (70.3605, -51.8421)
24: (x,y) = (72.4511, -31.9516)
25: (x,y) = (75.2346, -12.1463)
26: (x,y) = (75.2346, 7.85371)
27: (x,y) = (94.9307, 11.3267)
28: (x,y) = (75.1254, 14.1101)
29: (x,y) = (65.4292, 31.6025)
30: (x,y) = (84.8351, 36.441)
31: (x,y) = (73.6512, 19.8602)
32: (x,y) = (80.1626, 38.7706)
33: (x,y) = (60.3572, 35.9871)
34: (x,y) = (52.2225, 54.258)
35: (x,y) = (38.8399, 69.1209)
36: (x,y) = (57.5115, 61.9536)
37: (x,y) = (69.5478, 45.9809)
After 38 steps, the subject has the following location:
(x,y) = (81.3035, 62.1612)
 or
(m,a) = (102.344, 37.4)
Average outward distance per step = 2.69326
Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (-7.49213, 18.5437)
2: (x,y) = (-0.651729, -0.250175)
3: (x,y) = (14.6692, -13.1059)
4: (x,y) = (29.7634, -26.2271)
5: (x,y) = (48.435, -33.3945)
6: (x,y) = (40.9428, -14.8508)
7: (x,y) = (47.4542, -33.7612)
8: (x,y) = (40.9428, -52.6715)
9: (x,y) = (24.7625, -40.9158)
10: (x,y) = (7.98908, -30.023)
11: (x,y) = (-7.55384, -42.6095)
12: (x,y) = (6.58829, -56.7516)
13: (x,y) = (25.7144, -50.9042)
14: (x,y) = (29.8726, -70.4671)
15: (x,y) = (17.5594, -54.7069)
16: (x,y) = (-2.39189, -53.3118)
17: (x,y) = (-12.9903, -70.2727)
18: (x,y) = (-30.3108, -80.2727)
After 19 steps, the subject has the following location:
(x,y) = (-31.7059, -100.224)
 or
(m,a) = (105.12, -107.555)
Average outward distance per step = 5.53261
Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (-7.49213, -18.5437)
2: (x,y) = (-13.0049, -37.7689)
3: (x,y) = (-17.5039, -57.2563)
4: (x,y) = (-31.3971, -42.8695)
5: (x,y) = (-44.2528, -27.5486)
6: (x,y) = (-27.2919, -38.147)
7: (x,y) = (-46.6978, -42.9855)
8: (x,y) = (-55.7776, -25.1653)
9: (x,y) = (-37.9575, -34.2451)
10: (x,y) = (-57.8084, -31.8077)
11: (x,y) = (-49.041, -13.8319)
12: (x,y) = (-31.2208, -4.75205)
13: (x,y) = (-49.6309, 3.06257)
14: (x,y) = (-63.5241, -11.3242)
15: (x,y) = (-44.0367, -15.8232)
16: (x,y) = (-24.4737, -19.9815)
17: (x,y) = (-42.5999, -28.4338)
18: (x,y) = (-24.9409, -37.8233)
19: (x,y) = (-42.0843, -27.5225)
20: (x,y) = (-44.1749, -7.63208)
21: (x,y) = (-52.9423, 10.3438)
22: (x,y) = (-44.1749, -7.63208)
23: (x,y) = (-64.0258, -10.0695)
24: (x,y) = (-52.8419, -26.6502)
25: (x,y) = (-72.7324, -28.7408)
26: (x,y) = (-53.822, -35.2521)
27: (x,y) = (-47.6416, -16.231)
28: (x,y) = (-27.6538, -15.533)
29: (x,y) = (-43.1967, -28.1194)
30: (x,y) = (-61.3229, -19.6671)
31: (x,y) = (-76.8658, -7.08066)
32: (x,y) = (-58.1942, -14.248)
33: (x,y) = (-45.073, 0.84617)
34: (x,y) = (-29.3128, 13.1594)
35: (x,y) = (-37.1274, 31.5695)
36: (x,y) = (-24.8142, 47.3297)
37: (x,y) = (-35.115, 30.1864)
38: (x,y) = (-23.0787, 14.2137)
39: (x,y) = (-42.7112, 18.0298)
40: (x,y) = (-59.6722, 7.43145)
41: (x,y) = (-39.8213, 4.99406)
42: (x,y) = (-44.9976, 24.3126)
43: (x,y) = (-52.165, 42.9842)
44: (x,y) = (-33.6213, 50.4763)
45: (x,y) = (-16.1289, 40.7801)
46: (x,y) = (-19.2576, 60.5339)
47: (x,y) = (0.374932, 64.3501)
48: (x,y) = (13.7575, 79.213)
After 49 steps, the subject has the following location:
(x,y) = (20.2689, 98.1233)
 or
(m,a) = (100.195, 78.3288)
Average outward distance per step = 2.04479
